WM_YR_WK,DC,CHAMBER,DEPT,NumPacks,Inbound_Outbound,Actual_Forecast,WalmartYear,WalmartWeek,TypeYearLabel,Curr_YR,Curr_WK,NetworkCapacity,RefreshDate
11632,7017,FDD,90,249898,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7018,FDD,90,183851,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7013,FDD,90,268341,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7012,FDD,90,156638,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7015,FDD,90,214893,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6095,FDD,90,231581,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6096,FDD,90,219844,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7016,FDD,90,234340,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7017,FDD,90,305267,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7015,FDD,90,272131,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7016,FDD,90,277333,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6099,FDD,90,255292,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7013,FDD,90,303782,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7014,FDD,90,217846,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7014,FDD,90,235418,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6056,FDD,90,129612,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6057,FDD,90,158696,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7079,FDD,90,135553,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7077,FDD,90,207359,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6047,FDD,90,177594,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6055,FDD,90,153989,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7023,FDD,90,245899,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6858,FDD,90,116112,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7010,FDD,90,294477,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6091,FDD,90,162722,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6090,FDD,90,235395,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7084,FDD,90,297622,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6042,FDD,90,119348,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6097,FDD,90,191111,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6099,FDD,90,235506,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6091,FDD,90,191321,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6090,FDD,90,252742,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6073,FDD,90,262535,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6072,FDD,90,263146,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6074,FDD,90,216366,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6095,FDD,90,329585,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6077,FDD,90,295196,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6056,FDD,90,147563,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6055,FDD,90,187220,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6057,FDD,90,134617,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6084,FDD,90,216381,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6085,FDD,90,266434,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6096,FDD,90,245709,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6097,FDD,90,233809,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6090,FDD,90,295229,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6084,FDD,90,237048,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6083,FDD,90,277334,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6082,FDD,90,256825,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7079,FDD,90,153471,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6083,FDD,90,278971,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6091,FDD,90,199139,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,6095,FDD,90,301978,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7055,FDD,90,291504,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7077,FDD,90,239325,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7018,FDD,90,234529,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7019,FDD,90,336818,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6858,FDD,90,86927,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7012,FDD,90,181740,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6097,FDD,90,245084,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7010,FDD,90,322997,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7030,FDD,90,317165,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7048,FDD,90,299251,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6065,FDD,90,214482,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6071,FDD,90,342904,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6042,FDD,90,123201,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6047,FDD,90,182298,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6062,FDD,90,275594,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7021,FDD,90,313176,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7023,FDD,90,252197,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,7024,FDD,90,261971,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6059,FDD,90,142559,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6096,FDD,90,258447,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11630,6064,FDD,90,295539,Inbound,Forecast,2016,30,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6071,FDD,90,271077,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6064,FDD,90,226474,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6057,FDD,90,149435,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6065,FDD,90,164972,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7048,FDD,90,294676,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6047,FDD,90,164784,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7084,FDD,90,333628,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7018,FDD,90,229816,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7019,FDD,90,285027,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6042,FDD,90,127219,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7055,FDD,90,226878,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7048,FDD,90,227121,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7019,FDD,90,229640,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7021,FDD,90,268896,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7024,FDD,90,261416,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7055,FDD,90,268567,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7079,FDD,90,159270,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7077,FDD,90,259915,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11632,7030,FDD,90,288433,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7017,FDD,90,312085,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6084,FDD,90,174520,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6085,FDD,90,230452,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6074,FDD,90,188153,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6072,FDD,90,195630,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6073,FDD,90,220085,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6083,FDD,90,254052,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6059,FDD,90,119045,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6062,FDD,90,223381,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6056,FDD,90,122380,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7024,FDD,90,270414,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7030,FDD,90,297245,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6082,FDD,90,234749,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6077,FDD,90,229468,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7021,FDD,90,295332,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11632,6055,FDD,90,169426,Inbound,Forecast,2016,32,Forecast_2016,2016,28,98419636,17-Aug-16
11631,7023,FDD,90,255932,Inbound,Forecast,2016,31,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6099,FDD,90,245399,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6090,FDD,90,259698,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6095,FDD,90,301346,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6085,FDD,90,280965,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6077,FDD,90,271958,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6073,FDD,90,230967,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6097,FDD,90,234090,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6858,FDD,90,133438,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6096,FDD,90,270219,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6858,FDD,90,143550,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,7012,FDD,90,154683,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6096,FDD,90,261433,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,7013,FDD,90,279906,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,7010,FDD,90,241568,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6091,FDD,90,188218,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6099,FDD,90,235473,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7048,FDD,90,248567,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7030,FDD,90,318379,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7018,FDD,90,225933,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7019,FDD,90,296315,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7013,FDD,90,285044,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7014,FDD,90,235752,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7024,FDD,90,283896,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6072,FDD,90,238167,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6084,FDD,90,220206,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7021,FDD,90,303256,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6071,FDD,90,317083,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,7023,FDD,90,258624,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6074,FDD,90,246596,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6082,FDD,90,268320,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11635,6083,FDD,90,251986,Inbound,Forecast,2016,35,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6091,FDD,90,176836,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6090,FDD,90,261586,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6082,FDD,90,259509,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
11633,6077,FDD,90,235555,Inbound,Forecast,2016,33,Forecast_2016,2016,28,98419636,17-Aug-16
